Africa/Johannesburg,Open,High,Low,Close,Volume
2026-07-12T23:05:00+02:00,0.5757,0.57576,0.5757,0.57576,7
2026-07-12T23:10:00+02:00,0.57576,0.57578,0.57575,0.57576,13
2026-07-12T23:15:00+02:00,0.57576,0.57581,0.57576,0.57577,8
2026-07-12T23:20:00+02:00,0.57578,0.57585,0.57578,0.57578,10
2026-07-12T23:25:00+02:00,0.57578,0.57579,0.57578,0.57579,7
2026-07-12T23:30:00+02:00,0.57579,0.57586,0.57575,0.57584,12
2026-07-12T23:35:00+02:00,0.57584,0.57592,0.57584,0.57591,13
2026-07-12T23:40:00+02:00,0.57591,0.57593,0.57591,0.57592,10
2026-07-12T23:45:00+02:00,0.57592,0.57594,0.57592,0.57593,11
2026-07-12T23:50:00+02:00,0.57593,0.57596,0.57593,0.57594,14
2026-07-12T23:55:00+02:00,0.57594,0.57596,0.5755,0.57555,40
