Africa/Johannesburg,Open,High,Low,Close,Volume
2026-04-30T00:00:00+02:00,160.269,160.431,160.269,160.422,135
2026-04-30T00:05:00+02:00,160.422,160.422,160.379,160.39,108
2026-04-30T00:10:00+02:00,160.389,160.397,160.357,160.384,115
2026-04-30T00:15:00+02:00,160.384,160.391,160.34,160.34,71
2026-04-30T00:20:00+02:00,160.34,160.358,160.33,160.34,115
2026-04-30T00:25:00+02:00,160.34,160.349,160.317,160.342,87
2026-04-30T00:30:00+02:00,160.342,160.345,160.313,160.332,80
2026-04-30T00:35:00+02:00,160.332,160.353,160.326,160.353,60
2026-04-30T00:40:00+02:00,160.353,160.358,160.334,160.349,89
2026-04-30T00:45:00+02:00,160.349,160.355,160.337,160.342,55
2026-04-30T00:50:00+02:00,160.342,160.343,160.324,160.336,103
2026-04-30T00:55:00+02:00,160.336,160.336,160.311,160.324,130
2026-04-30T01:00:00+02:00,160.322,160.343,160.304,160.328,160
2026-04-30T01:05:00+02:00,160.327,160.344,160.327,160.335,98
2026-04-30T01:10:00+02:00,160.335,160.343,160.291,160.294,142
2026-04-30T01:15:00+02:00,160.292,160.295,160.251,160.284,132
2026-04-30T01:20:00+02:00,160.281,160.289,160.267,160.28,121
2026-04-30T01:25:00+02:00,160.278,160.292,160.251,160.266,124
2026-04-30T01:30:00+02:00,160.266,160.292,160.243,160.248,153
2026-04-30T01:35:00+02:00,160.248,160.249,160.21,160.212,94
2026-04-30T01:40:00+02:00,160.212,160.225,160.148,160.155,177
2026-04-30T01:45:00+02:00,160.153,160.172,160.148,160.17,165
2026-04-30T01:50:00+02:00,160.17,160.187,160.161,160.172,158
2026-04-30T01:55:00+02:00,160.174,160.2,160.17,160.198,143
2026-04-30T02:00:00+02:00,160.196,160.196,160.135,160.183,435
2026-04-30T02:05:00+02:00,160.18,160.203,160.077,160.081,348
2026-04-30T02:10:00+02:00,160.083,160.098,160.068,160.09,223
2026-04-30T02:15:00+02:00,160.088,160.128,160.084,160.109,230
2026-04-30T02:20:00+02:00,160.108,160.129,160.107,160.124,164
2026-04-30T02:25:00+02:00,160.124,160.15,160.091,160.14,193
2026-04-30T02:30:00+02:00,160.138,160.168,160.127,160.166,149
2026-04-30T02:35:00+02:00,160.165,160.186,160.146,160.152,181
