Africa/Johannesburg,Open,High,Low,Close,Volume
2026-06-15T00:00:00+02:00,7493.0,7504.2,7490.92,7503.31,1096
2026-06-15T00:01:00+02:00,7503.07,7507.23,7496.65,7503.97,1063
2026-06-15T00:02:00+02:00,7503.83,7504.79,7499.13,7501.43,1087
2026-06-15T00:03:00+02:00,7501.5,7503.26,7495.87,7499.0,623
2026-06-15T00:04:00+02:00,7499.23,7501.52,7493.87,7500.91,483
2026-06-15T00:05:00+02:00,7501.0,7507.24,7499.93,7506.37,748
2026-06-15T00:06:00+02:00,7506.14,7508.5,7505.16,7506.25,236
2026-06-15T00:07:00+02:00,7506.12,7506.53,7503.86,7504.24,220
2026-06-15T00:08:00+02:00,7504.09,7506.57,7501.92,7506.26,248
2026-06-15T00:09:00+02:00,7506.49,7511.51,7506.18,7508.77,240
2026-06-15T00:10:00+02:00,7508.65,7509.52,7507.12,7508.77,217
2026-06-15T00:11:00+02:00,7508.63,7510.28,7508.13,7509.27,191
2026-06-15T00:12:00+02:00,7509.46,7509.52,7507.43,7507.43,109
2026-06-15T00:13:00+02:00,7507.36,7509.74,7505.87,7509.03,148
2026-06-15T00:14:00+02:00,7508.89,7509.52,7507.41,7509.2,200
2026-06-15T00:15:00+02:00,7509.09,7509.26,7504.62,7505.76,179
2026-06-15T00:16:00+02:00,7505.65,7505.73,7503.37,7504.88,208
2026-06-15T00:17:00+02:00,7504.47,7505.06,7503.12,7503.61,148
2026-06-15T00:18:00+02:00,7503.73,7508.77,7503.73,7508.22,199
2026-06-15T00:19:00+02:00,7508.21,7509.82,7507.91,7509.62,133
2026-06-15T00:20:00+02:00,7509.57,7509.98,7507.11,7508.62,171
2026-06-15T00:21:00+02:00,7508.71,7510.88,7507.82,7510.77,134
2026-06-15T00:22:00+02:00,7510.82,7511.77,7509.89,7510.32,211
2026-06-15T00:23:00+02:00,7510.15,7512.55,7509.67,7512.55,100
2026-06-15T00:24:00+02:00,7512.34,7512.78,7509.57,7509.74,124
2026-06-15T00:25:00+02:00,7509.66,7509.66,7506.14,7508.13,171
2026-06-15T00:26:00+02:00,7507.9,7509.52,7505.32,7505.32,195
2026-06-15T00:27:00+02:00,7505.32,7505.72,7502.65,7503.03,216
2026-06-15T00:28:00+02:00,7502.89,7506.79,7502.89,7504.37,214
2026-06-15T00:29:00+02:00,7504.32,7505.27,7502.45,7503.39,141
2026-06-15T00:30:00+02:00,7503.52,7504.78,7501.94,7503.82,196
2026-06-15T00:31:00+02:00,7503.98,7505.77,7501.86,7501.93,177
2026-06-15T00:32:00+02:00,7501.87,7502.77,7500.32,7500.51,123
