Africa/Johannesburg,Open,High,Low,Close,Volume
2026-07-10T00:00:00+02:00,1.14303,1.14309,1.14287,1.14303,52
2026-07-10T00:05:00+02:00,1.14303,1.14329,1.14303,1.14322,62
2026-07-10T00:10:00+02:00,1.14322,1.14326,1.14321,1.14323,31
2026-07-10T00:15:00+02:00,1.14323,1.14329,1.14322,1.14327,33
2026-07-10T00:20:00+02:00,1.14327,1.14327,1.14325,1.14326,29
2026-07-10T00:25:00+02:00,1.14326,1.14326,1.14324,1.14325,20
2026-07-10T00:30:00+02:00,1.14325,1.14328,1.14324,1.14327,22
2026-07-10T00:35:00+02:00,1.14327,1.14328,1.14323,1.14325,21
2026-07-10T00:40:00+02:00,1.14325,1.14327,1.14324,1.14326,10
2026-07-10T00:45:00+02:00,1.14326,1.14329,1.14325,1.14326,14
2026-07-10T00:50:00+02:00,1.14326,1.14331,1.14326,1.1433,26
2026-07-10T00:55:00+02:00,1.1433,1.1433200000000001,1.14328,1.1433,23
2026-07-10T01:00:00+02:00,1.1433200000000001,1.14334,1.14327,1.14331,31
2026-07-10T01:05:00+02:00,1.14331,1.14335,1.14329,1.1433,29
2026-07-10T01:10:00+02:00,1.1433,1.14333,1.14329,1.14333,13
2026-07-10T01:15:00+02:00,1.14333,1.14334,1.14329,1.1433,25
2026-07-10T01:20:00+02:00,1.1433,1.1433,1.1431499999999999,1.1431499999999999,23
2026-07-10T01:25:00+02:00,1.1431499999999999,1.14316,1.1431,1.1431499999999999,28
2026-07-10T01:30:00+02:00,1.1431499999999999,1.14318,1.14313,1.14316,17
2026-07-10T01:35:00+02:00,1.14316,1.14329,1.1431499999999999,1.14324,33
2026-07-10T01:40:00+02:00,1.14324,1.14329,1.14323,1.14328,13
2026-07-10T01:45:00+02:00,1.14328,1.14333,1.14326,1.14327,42
2026-07-10T01:50:00+02:00,1.14327,1.14328,1.14317,1.1432,29
2026-07-10T01:55:00+02:00,1.14321,1.14329,1.14319,1.14329,40
2026-07-10T02:00:00+02:00,1.14329,1.14338,1.14316,1.14331,143
2026-07-10T02:05:00+02:00,1.14331,1.14339,1.14321,1.14325,84
2026-07-10T02:10:00+02:00,1.14323,1.1433200000000001,1.14313,1.1431499999999999,96
2026-07-10T02:15:00+02:00,1.1431499999999999,1.14324,1.1431499999999999,1.14317,49
