Africa/Johannesburg,Open,High,Low,Close,Volume
2026-05-11T00:00:00+02:00,80703.03,81207.77,80640.96,80952.31,954
2026-05-11T00:05:00+02:00,80951.52,81244.44,80923.89,81170.62,626
2026-05-11T00:10:00+02:00,81169.5,81424.03,81165.7,81309.06,525
2026-05-11T00:15:00+02:00,81312.17,81377.04,81197.16,81335.27,493
2026-05-11T00:20:00+02:00,81335.25,81363.17,81233.38,81294.13,294
2026-05-11T00:25:00+02:00,81293.93,81725.28,81280.95,81480.53,619
2026-05-11T00:30:00+02:00,81486.7,82121.82,81439.04,82001.85,1228
2026-05-11T00:35:00+02:00,82004.54,82058.34,81876.38,81923.32,688
2026-05-11T00:40:00+02:00,81929.69,81974.17,81831.5,81874.53,358
2026-05-11T00:45:00+02:00,81882.98,81985.61,81832.75,81970.03,374
2026-05-11T00:50:00+02:00,81969.01,82075.82,81807.29,82011.33,476
2026-05-11T00:55:00+02:00,82011.44,82163.02,81962.5,82043.75,594
2026-05-11T01:00:00+02:00,82041.56,82406.28,82038.84,82208.97,1097
2026-05-11T01:05:00+02:00,82215.06,82372.58,82209.82,82293.97,526
2026-05-11T01:10:00+02:00,82295.35,82430.06,82235.32,82382.35,432
2026-05-11T01:15:00+02:00,82384.69,82473.43,82242.56,82259.23,519
2026-05-11T01:20:00+02:00,82259.16,82326.46,82189.63,82257.86,368
2026-05-11T01:25:00+02:00,82257.75,82345.22,82191.64,82215.77,290
2026-05-11T01:30:00+02:00,82215.19,82291.01,82174.73,82193.37,334
2026-05-11T01:35:00+02:00,82196.92,82403.1,82189.49,82357.27,319
2026-05-11T01:40:00+02:00,82356.05,82382.41,82284.44,82366.56,227
2026-05-11T01:45:00+02:00,82367.85,82394.46,82280.69,82301.66,265
2026-05-11T01:50:00+02:00,82302.72,82317.3,82148.93,82163.37,240
2026-05-11T01:55:00+02:00,82158.31,82198.84,82052.96,82198.55,279
2026-05-11T02:00:00+02:00,82195.22,82371.04,82068.19,82070.51,416
2026-05-11T02:05:00+02:00,82069.61,82112.82,81948.56,81961.44,382
2026-05-11T02:10:00+02:00,81964.84,82017.74,81851.08,81862.0,324
2026-05-11T02:15:00+02:00,81857.86,81865.22,81544.91,81566.86,758
2026-05-11T02:20:00+02:00,81574.2,81772.09,81378.91,81760.95,597
2026-05-11T02:25:00+02:00,81758.8,81809.96,81616.7,81663.08,269
2026-05-11T02:30:00+02:00,81663.25,81820.87,81646.37,81737.5,323
2026-05-11T02:35:00+02:00,81738.66,81794.93,81687.75,81693.4,229
2026-05-11T02:40:00+02:00,81696.58,81713.06,81478.65,81572.57,341
2026-05-11T02:45:00+02:00,81567.42,81635.45,81525.1,81554.52,296
2026-05-11T02:50:00+02:00,81550.91,81602.51,81262.25,81327.76,626
2026-05-11T02:55:00+02:00,81319.86,81475.32,81255.34,81448.97,483
2026-05-11T03:00:00+02:00,81450.76,81481.24,81265.29,81318.54,536
2026-05-11T03:05:00+02:00,81319.21,81443.87,81276.01,81361.86,341
2026-05-11T03:10:00+02:00,81360.45,81579.2,81280.62,81485.35,413
2026-05-11T03:15:00+02:00,81492.46,81667.54,81438.42,81643.12,452
2026-05-11T03:20:00+02:00,81637.82,81735.66,81592.57,81691.45,306
2026-05-11T03:25:00+02:00,81694.63,81718.86,81578.51,81606.04,276
2026-05-11T03:30:00+02:00,81604.46,81662.94,81475.84,81531.4,376
2026-05-11T03:35:00+02:00,81530.85,81554.19,81444.64,81494.4,248
2026-05-11T03:40:00+02:00,81487.44,81561.76,81427.98,81467.87,259
2026-05-11T03:45:00+02:00,81466.47,81569.26,81366.57,81546.07,303
2026-05-11T03:50:00+02:00,81552.89,81567.55,81431.5,81471.68,232
2026-05-11T03:55:00+02:00,81471.29,81515.39,81434.46,81483.1,230
2026-05-11T04:00:00+02:00,81480.26,81553.89,81442.64,81502.38,252
2026-05-11T04:05:00+02:00,81502.46,81533.92,81333.82,81403.86,294
2026-05-11T04:10:00+02:00,81403.25,81449.07,81344.34,81391.08,228
2026-05-11T04:15:00+02:00,81388.3,81388.3,81155.63,81263.29,393
2026-05-11T04:20:00+02:00,81261.58,81261.58,81110.77,81217.55,344
2026-05-11T04:25:00+02:00,81217.64,81240.94,81156.55,81213.5,259
2026-05-11T04:30:00+02:00,81210.23,81260.03,81087.01,81154.19,343
2026-05-11T04:35:00+02:00,81157.73,81200.05,81106.4,81176.12,268
