Africa/Johannesburg,Open,High,Low,Close,Volume
2026-03-27T00:00:00+02:00,159.695,159.737,159.644,159.666,139
2026-03-27T00:05:00+02:00,159.663,159.709,159.646,159.693,115
2026-03-27T00:10:00+02:00,159.693,159.7,159.668,159.672,102
2026-03-27T00:15:00+02:00,159.672,159.679,159.653,159.662,66
2026-03-27T00:20:00+02:00,159.662,159.703,159.657,159.703,90
2026-03-27T00:25:00+02:00,159.703,159.703,159.682,159.69,59
2026-03-27T00:30:00+02:00,159.686,159.691,159.669,159.677,76
2026-03-27T00:35:00+02:00,159.676,159.689,159.675,159.679,42
2026-03-27T00:40:00+02:00,159.683,159.689,159.657,159.661,47
2026-03-27T00:45:00+02:00,159.661,159.676,159.644,159.664,69
2026-03-27T00:50:00+02:00,159.664,159.665,159.647,159.664,62
2026-03-27T00:55:00+02:00,159.664,159.665,159.642,159.651,44
2026-03-27T01:00:00+02:00,159.651,159.666,159.633,159.635,204
2026-03-27T01:05:00+02:00,159.638,159.652,159.632,159.638,272
2026-03-27T01:10:00+02:00,159.639,159.653,159.634,159.637,133
2026-03-27T01:15:00+02:00,159.637,159.663,159.637,159.65,215
2026-03-27T01:20:00+02:00,159.649,159.663,159.644,159.648,236
2026-03-27T01:25:00+02:00,159.648,159.675,159.648,159.659,105
2026-03-27T01:30:00+02:00,159.659,159.663,159.644,159.644,58
2026-03-27T01:35:00+02:00,159.647,159.663,159.642,159.662,146
2026-03-27T01:40:00+02:00,159.663,159.693,159.657,159.684,88
2026-03-27T01:45:00+02:00,159.684,159.707,159.663,159.682,119
2026-03-27T01:50:00+02:00,159.683,159.702,159.672,159.697,85
2026-03-27T01:55:00+02:00,159.697,159.722,159.696,159.719,139
2026-03-27T02:00:00+02:00,159.721,159.724,159.65,159.663,236
2026-03-27T02:05:00+02:00,159.663,159.67,159.627,159.661,194
2026-03-27T02:10:00+02:00,159.659,159.701,159.653,159.695,134
2026-03-27T02:15:00+02:00,159.692,159.721,159.651,159.711,177
2026-03-27T02:20:00+02:00,159.711,159.762,159.706,159.717,325
2026-03-27T02:25:00+02:00,159.718,159.739,159.703,159.713,208
2026-03-27T02:30:00+02:00,159.711,159.716,159.683,159.697,167
2026-03-27T02:35:00+02:00,159.7,159.714,159.687,159.691,192
2026-03-27T02:40:00+02:00,159.691,159.71,159.686,159.691,112
2026-03-27T02:45:00+02:00,159.691,159.703,159.548,159.609,366
2026-03-27T02:50:00+02:00,159.608,159.642,159.484,159.535,629
2026-03-27T02:55:00+02:00,159.532,159.57,159.511,159.556,449
2026-03-27T03:00:00+02:00,159.555,159.593,159.541,159.589,307
2026-03-27T03:05:00+02:00,159.589,159.589,159.508,159.512,302
2026-03-27T03:10:00+02:00,159.512,159.563,159.488,159.563,232
2026-03-27T03:15:00+02:00,159.56,159.584,159.525,159.531,210
2026-03-27T03:20:00+02:00,159.53,159.557,159.53,159.553,177
2026-03-27T03:25:00+02:00,159.553,159.578,159.55,159.565,182
2026-03-27T03:30:00+02:00,159.564,159.568,159.542,159.567,156
2026-03-27T03:35:00+02:00,159.566,159.577,159.545,159.554,131
2026-03-27T03:40:00+02:00,159.553,159.565,159.547,159.55,122
2026-03-27T03:45:00+02:00,159.55,159.58,159.521,159.554,152
2026-03-27T03:50:00+02:00,159.554,159.568,159.548,159.565,108
2026-03-27T03:55:00+02:00,159.565,159.575,159.452,159.478,300
2026-03-27T04:00:00+02:00,159.476,159.501,159.452,159.491,291
2026-03-27T04:05:00+02:00,159.491,159.543,159.489,159.528,166
2026-03-27T04:10:00+02:00,159.529,159.569,159.529,159.563,130
2026-03-27T04:15:00+02:00,159.562,159.579,159.557,159.565,117
2026-03-27T04:20:00+02:00,159.565,159.583,159.557,159.573,117
2026-03-27T04:25:00+02:00,159.573,159.577,159.559,159.566,76
2026-03-27T04:30:00+02:00,159.568,159.576,159.532,159.541,131
2026-03-27T04:35:00+02:00,159.541,159.573,159.537,159.538,137
2026-03-27T04:40:00+02:00,159.537,159.551,159.523,159.524,109
2026-03-27T04:45:00+02:00,159.523,159.524,159.49,159.498,128
2026-03-27T04:50:00+02:00,159.499,159.524,159.491,159.501,119
2026-03-27T04:55:00+02:00,159.501,159.525,159.493,159.525,87
2026-03-27T05:00:00+02:00,159.525,159.525,159.5,159.517,130
2026-03-27T05:05:00+02:00,159.518,159.55,159.514,159.547,98
2026-03-27T05:10:00+02:00,159.547,159.553,159.53,159.547,101
2026-03-27T05:15:00+02:00,159.547,159.577,159.539,159.57,146
2026-03-27T05:20:00+02:00,159.57,159.589,159.569,159.586,90
2026-03-27T05:25:00+02:00,159.589,159.592,159.567,159.571,60
2026-03-27T05:30:00+02:00,159.571,159.594,159.562,159.586,122
2026-03-27T05:35:00+02:00,159.586,159.6,159.559,159.56,132
2026-03-27T05:40:00+02:00,159.561,159.587,159.552,159.572,116
2026-03-27T05:45:00+02:00,159.572,159.589,159.563,159.574,97
2026-03-27T05:50:00+02:00,159.574,159.6,159.572,159.598,86
2026-03-27T05:55:00+02:00,159.598,159.623,159.598,159.61,86
2026-03-27T06:00:00+02:00,159.611,159.638,159.611,159.617,140
2026-03-27T06:05:00+02:00,159.616,159.627,159.611,159.619,91
2026-03-27T06:10:00+02:00,159.62,159.62,159.601,159.603,66
2026-03-27T06:15:00+02:00,159.601,159.613,159.601,159.611,51
2026-03-27T06:20:00+02:00,159.611,159.611,159.575,159.585,66
2026-03-27T06:25:00+02:00,159.585,159.593,159.557,159.564,153
2026-03-27T06:30:00+02:00,159.564,159.564,159.55,159.561,67
2026-03-27T06:35:00+02:00,159.561,159.594,159.558,159.584,146
2026-03-27T06:40:00+02:00,159.584,159.593,159.582,159.589,56
2026-03-27T06:45:00+02:00,159.59,159.625,159.588,159.623,104
2026-03-27T06:50:00+02:00,159.622,159.626,159.59,159.591,113
2026-03-27T06:55:00+02:00,159.593,159.618,159.586,159.617,145
2026-03-27T07:00:00+02:00,159.619,159.647,159.619,159.628,128
2026-03-27T07:05:00+02:00,159.628,159.635,159.588,159.59,148
2026-03-27T07:10:00+02:00,159.593,159.606,159.593,159.599,74
2026-03-27T07:15:00+02:00,159.599,159.614,159.598,159.611,107
