Africa/Johannesburg,Open,High,Low,Close,Volume
2026-01-07T01:00:00+02:00,6952.44,6954.72,6950.74,6951.92,443
2026-01-07T01:15:00+02:00,6951.87,6952.52,6950.38,6951.51,208
2026-01-07T01:30:00+02:00,6951.39,6951.54,6949.7,6950.07,230
2026-01-07T01:45:00+02:00,6950.07,6951.83,6949.89,6950.34,340
2026-01-07T02:00:00+02:00,6950.55,6953.58,6949.88,6952.09,779
2026-01-07T02:15:00+02:00,6951.94,6952.84,6951.22,6952.58,351
2026-01-07T02:30:00+02:00,6952.44,6952.44,6950.38,6951.03,378
2026-01-07T02:45:00+02:00,6950.93,6953.63,6950.88,6951.93,318
2026-01-07T03:00:00+02:00,6952.09,6952.88,6951.63,6952.33,357
2026-01-07T03:15:00+02:00,6952.18,6952.18,6949.64,6950.38,367
2026-01-07T03:30:00+02:00,6950.45,6952.8,6950.18,6951.38,372
2026-01-07T03:45:00+02:00,6951.27,6952.38,6950.88,6951.45,337
2026-01-07T04:00:00+02:00,6951.59,6954.33,6950.88,6951.56,303
2026-01-07T04:15:00+02:00,6951.42,6952.34,6950.67,6950.67,169
2026-01-07T04:30:00+02:00,6950.48,6952.13,6949.88,6951.63,210
2026-01-07T04:45:00+02:00,6951.78,6951.84,6949.66,6950.59,172
2026-01-07T05:00:00+02:00,6950.62,6951.83,6950.62,6951.19,169
2026-01-07T05:15:00+02:00,6951.33,6952.62,6951.13,6951.63,213
2026-01-07T05:30:00+02:00,6951.63,6951.87,6950.24,6951.08,139
2026-01-07T05:45:00+02:00,6951.13,6951.84,6949.42,6949.67,180
2026-01-07T06:00:00+02:00,6949.84,6950.31,6947.63,6949.08,289
2026-01-07T06:15:00+02:00,6948.93,6949.13,6947.46,6947.46,196
2026-01-07T06:30:00+02:00,6947.58,6949.36,6947.43,6949.18,174
2026-01-07T06:45:00+02:00,6949.34,6949.83,6947.88,6948.18,168
2026-01-07T07:00:00+02:00,6948.34,6948.84,6946.88,6948.62,245
2026-01-07T07:15:00+02:00,6948.44,6949.34,6947.89,6949.1,169
2026-01-07T07:30:00+02:00,6949.12,6950.13,6948.13,6948.21,223
2026-01-07T07:45:00+02:00,6948.34,6948.34,6946.93,6947.42,201
2026-01-07T08:00:00+02:00,6947.59,6950.13,6947.42,6949.92,171
2026-01-07T08:15:00+02:00,6950.09,6950.53,6947.69,6948.06,145
2026-01-07T08:30:00+02:00,6947.92,6949.34,6945.39,6945.58,221
2026-01-07T08:45:00+02:00,6945.61,6946.34,6944.52,6944.88,205
2026-01-07T09:00:00+02:00,6944.75,6946.38,6944.21,6945.61,223
2026-01-07T09:15:00+02:00,6945.63,6946.86,6945.47,6946.04,159
2026-01-07T09:30:00+02:00,6945.89,6946.34,6944.89,6944.89,182
2026-01-07T09:45:00+02:00,6944.88,6946.12,6944.09,6944.14,155
2026-01-07T10:00:00+02:00,6944.3,6946.16,6943.55,6945.51,445
2026-01-07T10:15:00+02:00,6945.66,6948.21,6945.05,6945.28,339
2026-01-07T10:30:00+02:00,6945.41,6946.14,6943.8,6944.06,330
2026-01-07T10:45:00+02:00,6944.19,6944.71,6942.26,6942.53,248
2026-01-07T11:00:00+02:00,6942.33,6943.17,6940.31,6941.51,457
2026-01-07T11:15:00+02:00,6941.28,6941.97,6939.31,6941.6,362
2026-01-07T11:30:00+02:00,6941.34,6943.08,6940.29,6941.94,411
