Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-10T00:00:00+02:00,153.55,153.553,153.505,153.525,40
2026-09-10T00:01:00+02:00,153.529,153.553,153.529,153.553,18
2026-09-10T00:02:00+02:00,153.553,153.556,153.524,153.528,20
2026-09-10T00:03:00+02:00,153.529,153.531,153.527,153.528,10
2026-09-10T00:04:00+02:00,153.532,153.532,153.521,153.531,8
2026-09-10T00:05:00+02:00,153.531,153.531,153.517,153.526,10
2026-09-10T00:06:00+02:00,153.53,153.53,153.496,153.5,22
2026-09-10T00:07:00+02:00,153.499,153.502,153.463,153.487,25
2026-09-10T00:08:00+02:00,153.487,153.496,153.487,153.496,10
2026-09-10T00:09:00+02:00,153.495,153.495,153.489,153.493,5
2026-09-10T00:10:00+02:00,153.493,153.508,153.487,153.505,22
2026-09-10T00:11:00+02:00,153.505,153.505,153.492,153.496,15
2026-09-10T00:12:00+02:00,153.497,153.497,153.491,153.495,6
2026-09-10T00:13:00+02:00,153.495,153.503,153.491,153.503,13
2026-09-10T00:14:00+02:00,153.503,153.508,153.503,153.506,7
2026-09-10T00:15:00+02:00,153.506,153.506,153.488,153.493,22
2026-09-10T00:16:00+02:00,153.493,153.493,153.479,153.482,10
2026-09-10T00:17:00+02:00,153.482,153.482,153.476,153.482,7
2026-09-10T00:18:00+02:00,153.482,153.483,153.442,153.442,23
2026-09-10T00:19:00+02:00,153.439,153.447,153.435,153.447,12
2026-09-10T00:20:00+02:00,153.447,153.447,153.413,153.428,29
2026-09-10T00:21:00+02:00,153.428,153.428,153.371,153.39,42
2026-09-10T00:22:00+02:00,153.39,153.399,153.384,153.399,30
2026-09-10T00:23:00+02:00,153.398,153.402,153.384,153.397,24
2026-09-10T00:24:00+02:00,153.397,153.412,153.396,153.404,22
2026-09-10T00:25:00+02:00,153.403,153.412,153.369,153.373,34
2026-09-10T00:26:00+02:00,153.373,153.386,153.372,153.386,21
2026-09-10T00:27:00+02:00,153.386,153.389,153.386,153.388,12
2026-09-10T00:28:00+02:00,153.388,153.388,153.386,153.388,10
2026-09-10T00:29:00+02:00,153.388,153.391,153.387,153.39,6
2026-09-10T00:30:00+02:00,153.39,153.391,153.342,153.356,32
2026-09-10T00:31:00+02:00,153.353,153.358,153.322,153.329,50
2026-09-10T00:32:00+02:00,153.331,153.331,153.323,153.328,13
2026-09-10T00:33:00+02:00,153.328,153.337,153.328,153.337,16
2026-09-10T00:34:00+02:00,153.337,153.355,153.337,153.355,17
2026-09-10T00:35:00+02:00,153.355,153.386,153.354,153.383,28
2026-09-10T00:36:00+02:00,153.383,153.384,153.376,153.38,9
2026-09-10T00:37:00+02:00,153.38,153.38,153.365,153.38,17
2026-09-10T00:38:00+02:00,153.38,153.38,153.374,153.38,12
2026-09-10T00:39:00+02:00,153.38,153.381,153.379,153.379,6
2026-09-10T00:40:00+02:00,153.379,153.381,153.375,153.38,7
2026-09-10T00:41:00+02:00,153.38,153.38,153.355,153.365,24
2026-09-10T00:42:00+02:00,153.365,153.366,153.353,153.357,20
2026-09-10T00:43:00+02:00,153.356,153.356,153.32,153.326,26
2026-09-10T00:44:00+02:00,153.326,153.33,153.325,153.327,17
2026-09-10T00:45:00+02:00,153.327,153.331,153.325,153.33,12
2026-09-10T00:46:00+02:00,153.332,153.346,153.33,153.343,17
2026-09-10T00:47:00+02:00,153.339,153.354,153.339,153.354,18
2026-09-10T00:48:00+02:00,153.354,153.365,153.351,153.363,21
2026-09-10T00:49:00+02:00,153.362,153.365,153.343,153.353,24
2026-09-10T00:50:00+02:00,153.353,153.355,153.351,153.355,5
2026-09-10T00:51:00+02:00,153.355,153.355,153.336,153.344,14
2026-09-10T00:52:00+02:00,153.343,153.345,153.343,153.344,8
2026-09-10T00:53:00+02:00,153.344,153.344,153.334,153.344,9
2026-09-10T00:54:00+02:00,153.344,153.347,153.342,153.347,10
2026-09-10T00:55:00+02:00,153.351,153.353,153.339,153.344,14
2026-09-10T00:56:00+02:00,153.344,153.345,153.344,153.345,4
