Africa/Johannesburg,Open,High,Low,Close,Volume
2026-07-19T23:05:00+02:00,0.58259,0.58259,0.58259,0.58259,1
2026-07-19T23:06:00+02:00,0.58259,0.5826,0.58259,0.5826,2
2026-07-19T23:07:00+02:00,0.5826,0.5826,0.58228,0.58228,12
2026-07-19T23:08:00+02:00,0.58228,0.58234,0.58228,0.58234,7
2026-07-19T23:09:00+02:00,0.58234,0.58254,0.58229,0.58236,16
2026-07-19T23:10:00+02:00,0.58236,0.58237,0.58234,0.58237,8
2026-07-19T23:11:00+02:00,0.58237,0.58241,0.58235,0.58241,11
2026-07-19T23:12:00+02:00,0.58241,0.58243,0.58241,0.58243,5
2026-07-19T23:13:00+02:00,0.5824,0.58244,0.58234,0.58235,9
2026-07-19T23:14:00+02:00,0.58235,0.58258,0.58235,0.58243,18
2026-07-19T23:15:00+02:00,0.58244,0.58257,0.58244,0.58257,12
2026-07-19T23:16:00+02:00,0.58258,0.58266,0.58258,0.58266,8
2026-07-19T23:17:00+02:00,0.58266,0.58269,0.58266,0.58269,4
2026-07-19T23:18:00+02:00,0.5827,0.58273,0.5827,0.58273,4
2026-07-19T23:19:00+02:00,0.58273,0.58275,0.58273,0.58275,3
2026-07-19T23:20:00+02:00,0.58276,0.58278,0.58276,0.58278,3
2026-07-19T23:21:00+02:00,0.58278,0.5828,0.58278,0.5828,3
2026-07-19T23:22:00+02:00,0.5828,0.58281,0.5828,0.58281,2
2026-07-19T23:23:00+02:00,0.58282,0.58283,0.58282,0.58283,2
2026-07-19T23:24:00+02:00,0.58284,0.58285,0.58284,0.58285,2
2026-07-19T23:25:00+02:00,0.58285,0.58286,0.58285,0.58286,2
2026-07-19T23:26:00+02:00,0.58286,0.58286,0.58286,0.58286,1
2026-07-19T23:27:00+02:00,0.58286,0.58287,0.58286,0.58287,2
2026-07-19T23:28:00+02:00,0.58287,0.58287,0.58287,0.58287,1
2026-07-19T23:29:00+02:00,0.58287,0.58287,0.58287,0.58287,1
2026-07-19T23:30:00+02:00,0.58287,0.58287,0.58283,0.58283,3
2026-07-19T23:31:00+02:00,0.58282,0.58287,0.58282,0.58287,8
2026-07-19T23:32:00+02:00,0.58285,0.58288,0.58284,0.58285,8
2026-07-19T23:33:00+02:00,0.58285,0.58289,0.58285,0.58285,5
2026-07-19T23:34:00+02:00,0.58285,0.58289,0.58281,0.58285,10
2026-07-19T23:35:00+02:00,0.58286,0.58287,0.58285,0.58287,6
2026-07-19T23:36:00+02:00,0.58287,0.5829,0.58287,0.5829,6
2026-07-19T23:37:00+02:00,0.5829,0.5829,0.58289,0.5829,3
2026-07-19T23:38:00+02:00,0.58291,0.58291,0.5829,0.5829,2
2026-07-19T23:39:00+02:00,0.5829,0.5829,0.58286,0.58287,3
2026-07-19T23:40:00+02:00,0.58287,0.58287,0.58285,0.58286,4
2026-07-19T23:41:00+02:00,0.58285,0.58289,0.58285,0.58289,4
2026-07-19T23:42:00+02:00,0.58289,0.5829,0.58285,0.58286,7
2026-07-19T23:43:00+02:00,0.58285,0.58285,0.58284,0.58285,5
2026-07-19T23:44:00+02:00,0.58285,0.58285,0.58284,0.58285,3
2026-07-19T23:45:00+02:00,0.58285,0.58285,0.58285,0.58285,1
2026-07-19T23:46:00+02:00,0.58285,0.58285,0.58282,0.58282,4
2026-07-19T23:47:00+02:00,0.58282,0.58283,0.58282,0.58282,3
2026-07-19T23:48:00+02:00,0.58282,0.58283,0.58272,0.58281,7
2026-07-19T23:49:00+02:00,0.58281,0.58281,0.58281,0.58281,1
2026-07-19T23:50:00+02:00,0.58282,0.58282,0.58279,0.58279,5
2026-07-19T23:51:00+02:00,0.58279,0.58279,0.58277,0.58277,7
2026-07-19T23:52:00+02:00,0.58277,0.58279,0.58277,0.58277,4
2026-07-19T23:53:00+02:00,0.58278,0.58278,0.58277,0.58277,2
2026-07-19T23:54:00+02:00,0.58277,0.58282,0.58277,0.58282,5
2026-07-19T23:55:00+02:00,0.58282,0.58282,0.58282,0.58282,1
2026-07-19T23:56:00+02:00,0.58282,0.58282,0.58281,0.58281,2
2026-07-19T23:57:00+02:00,0.58281,0.58283,0.58275,0.58276,6
2026-07-19T23:58:00+02:00,0.58276,0.58277,0.58275,0.58276,6
2026-07-19T23:59:00+02:00,0.58276,0.58277,0.58276,0.58276,3
